id,group,priority,status,coverage,note,repair_route,section
RDM-003,RDM,P0,PLANNED,FULLY_INVESTIGATED,No-generic-template: three-way recompile + embedding similarity detection (the repository-file proof's generic-template scenario),,7. README presentation requirements
RDM-004,RDM,P0,PLANNED,FULLY_INVESTIGATED,Surgical fact-backed changes: desired-state compile + change classification,,7. README presentation requirements
RDM-005,RDM,P1,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,7. README presentation requirements
RDM-006,RDM,P1,PARTIAL,PARTIALLY_INVESTIGATED,Requirement has partial implementation or proof and retains an explicit open boundary,,7. README presentation requirements
RDM-007,RDM,P1,PARTIAL,PARTIALLY_INVESTIGATED,Requirement has partial implementation or proof and retains an explicit open boundary,,7. README presentation requirements
RDM-008,RDM,P1,PLANNED,DEFERRED_WITH_DESIGN,Carried by the governed roadmap,,7. README presentation requirements
RDM-009,RDM,P1,PLANNED,DEFERRED_WITH_DESIGN,Carried by the governed roadmap,,7. README presentation requirements
RDM-010,RDM,P1,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,7. README presentation requirements
RDM-011,RDM,P1,PLANNED,DEFERRED_WITH_DESIGN,Carried by the governed roadmap,,7. README presentation requirements
RDM-012,RDM,P1,PLANNED,DEFERRED_WITH_DESIGN,Carried by the governed roadmap,,7. README presentation requirements
RDM-013,RDM,P1,IMPLEMENTED,ALREADY_PROVEN,Existing resources-span behavior; Phase 0-15 tests + evidence,,7. README presentation requirements
RDM-014,RDM,P1,IMPLEMENTED,FULLY_INVESTIGATED,Span presence != completeness (established in the current-state findings),,7. README presentation requirements
RDM-015,RDM,P1,PLANNED,DEFERRED_WITH_DESIGN,Carried by the governed roadmap,,7. README presentation requirements
RDM-016,RDM,P1,PLANNED,DEFERRED_WITH_DESIGN,Carried by the governed roadmap,,7. README presentation requirements
RDM-017,RDM,P1,PLANNED,DEFERRED_WITH_DESIGN,Carried by the governed roadmap,,7. README presentation requirements
RDM-018,RDM,P1,PLANNED,DEFERRED_WITH_DESIGN,Carried by the governed roadmap,,7. README presentation requirements
RDM-019,RDM,P2,IMPLEMENTED,DEFERRED_WITHOUT_DESIGN,First-screen/minute/install standard is Phase-20 research; P2,Roadmap Wave 0 card (Phase-20 research),7. README presentation requirements
RDM-020,RDM,P2,PLANNED,PARTIALLY_INVESTIGATED,Generic/mechanical-prose detection via endpoint embeddings; calibration in the repository-file proof,,7. README presentation requirements
RDM-021,RDM,P2,PLANNED,PARTIALLY_INVESTIGATED,Markdown/anchor/fence validation designed on AST model; implementation in roadmap,,7. README presentation requirements
RDM-022,RDM,P2,PLANNED,DEFERRED_WITH_DESIGN,Per-change rationale field in proposals (RunManifestV1),,7. README presentation requirements
RDM-023,RDM,P2,IMPLEMENTED,ALREADY_PROVEN,Secondary-links best-effort tracking shipped,,7. README presentation requirements
RDM-024,RDM,P1,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,7. README presentation requirements
RDM-025,RDM,P1,BACKLOG,DEFERRED_WITH_DESIGN,Explicitly tracked backlog item excluded from the active mandatory mission queue,,7. README presentation requirements
SURF-001,SURF,P1,PLANNED,DEFERRED_WITH_DESIGN,Carried by the governed roadmap,,8. Repository settings and supporting surfaces
SURF-002,SURF,P1,PLANNED,DEFERRED_WITH_DESIGN,Carried by the governed roadmap,,8. Repository settings and supporting surfaces
SURF-003,SURF,P1,PLANNED,DEFERRED_WITH_DESIGN,Carried by the governed roadmap,,8. Repository settings and supporting surfaces
SURF-004,SURF,P0,PLANNED,FULLY_INVESTIGATED,The settings proof negative-asserts no remote write without an apply gate,,8. Repository settings and supporting surfaces
SURF-005,SURF,P1,PLANNED,FULLY_INVESTIGATED,Proposal = before/after + rationale + permission + rollback + evidence (the settings proof),,8. Repository settings and supporting surfaces
SURF-006,SURF,P1,PLANNED,DEFERRED_WITH_DESIGN,Carried by the governed roadmap,,8. Repository settings and supporting surfaces
SURF-007,SURF,P1,PARTIAL,PARTIALLY_INVESTIGATED,Requirement has partial implementation or proof and retains an explicit open boundary,,8. Repository settings and supporting surfaces
SURF-008,SURF,P0,GOVERNANCE,FULLY_INVESTIGATED,File-vs-GitHub-display distinction encoded in the control-class model,,8. Repository settings and supporting surfaces
SURF-009,SURF,P1,PLANNED,FULLY_INVESTIGATED,Community files use the same push-blocked evidence model (the repository-file proof),,8. Repository settings and supporting surfaces
SURF-010,SURF,P1,PARTIAL,FULLY_INVESTIGATED,Illustration vs social preview separated (the social-preview proof),,8. Repository settings and supporting surfaces
SURF-011,SURF,P1,PARTIAL,PARTIALLY_INVESTIGATED,Requirement has partial implementation or proof and retains an explicit open boundary,,8. Repository settings and supporting surfaces
SURF-012,SURF,P1,PLANNED,DEFERRED_WITH_DESIGN,Carried by the governed roadmap,,8. Repository settings and supporting surfaces
SURF-013,SURF,P1,PLANNED,DEFERRED_WITH_DESIGN,Carried by the governed roadmap,,8. Repository settings and supporting surfaces
SURF-014,SURF,P1,PLANNED,FULLY_INVESTIGATED,Release/package audit without touching the owned surface (the handoff proof),,8. Repository settings and supporting surfaces
SURF-015,SURF,P2,PLANNED,FULLY_INVESTIGATED,Generated-surface anomalies investigated via repo evidence (the generated-surface audit),,8. Repository settings and supporting surfaces
CORE-001,CORE,P0,PARTIAL,PARTIALLY_INVESTIGATED,Requirement has partial implementation or proof and retains an explicit open boundary,,9. Core engine and registry requirements
CORE-002,CORE,P1,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,9. Core engine and registry requirements
CORE-003,CORE,P0,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,9. Core engine and registry requirements
CORE-004,CORE,P0,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,9. Core engine and registry requirements
CORE-033,CORE,P0,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,9. Core engine and registry requirements
CORE-005,CORE,P1,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,9. Core engine and registry requirements
CORE-006,CORE,P1,PARTIAL,PARTIALLY_INVESTIGATED,Requirement has partial implementation or proof and retains an explicit open boundary,,9. Core engine and registry requirements
CORE-007,CORE,P0,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,9. Core engine and registry requirements
CORE-008,CORE,P0,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,9. Core engine and registry requirements
CORE-009,CORE,P1,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,9. Core engine and registry requirements
CORE-010,CORE,P0,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,9. Core engine and registry requirements
CORE-011,CORE,P0,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,9. Core engine and registry requirements
CORE-012,CORE,P0,IMPLEMENTED,PARTIALLY_INVESTIGATED,"IMPLEMENTED as scoped, but the current-state evidence proves work-clone-as-state fails portability/CI; routed to a supersession delta (work clone -> cache role)",,9. Core engine and registry requirements
CORE-013,CORE,P0,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,9. Core engine and registry requirements
CORE-014,CORE,P0,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,9. Core engine and registry requirements
CORE-015,CORE,P0,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,9. Core engine and registry requirements
CORE-016,CORE,P0,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,9. Core engine and registry requirements
CORE-017,CORE,P1,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,9. Core engine and registry requirements
CORE-018,CORE,P1,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,9. Core engine and registry requirements
CORE-019,CORE,P1,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,9. Core engine and registry requirements
CORE-020,CORE,P1,PLANNED,FULLY_INVESTIGATED,The spine extends the one pipeline across surfaces (no second pipeline),,9. Core engine and registry requirements
CORE-021,CORE,P1,PLANNED,FULLY_INVESTIGATED,Per-surface detector/class/proposal/validators/evidence/gate is the control-class proof structure,,9. Core engine and registry requirements
CORE-022,CORE,P1,PLANNED,FULLY_INVESTIGATED,The handoff and generated-surface audit proofs assert no write handler for classes D/E,,9. Core engine and registry requirements
CORE-023,CORE,P2,IMPLEMENTED,DEFERRED_WITHOUT_DESIGN,Registry sync script is Phase-18 ops; P2,Roadmap ops card,9. Core engine and registry requirements
CORE-024,CORE,P2,PLANNED,DEFERRED_WITHOUT_DESIGN,Broader README corpus (.NET etc.) is Phase-19; P2,Roadmap verification-wave card,9. Core engine and registry requirements
CORE-025,CORE,P2,PLANNED,DEFERRED_WITH_DESIGN,Offline evidence replay designed in the reconciliation/apply design (replay from evidence bundle),,9. Core engine and registry requirements
CORE-026,CORE,P1,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,9. Core engine and registry requirements
CORE-027,CORE,P0,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,9. Core engine and registry requirements
CORE-028,CORE,P0,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,9. Core engine and registry requirements
CORE-029,CORE,P1,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,9. Core engine and registry requirements
CORE-030,CORE,P1,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,9. Core engine and registry requirements
CORE-031,CORE,P1,IMPLEMENTED,PARTIALLY_INVESTIGATED,Runtime layout works locally; durable-state role superseded by the .state/ StateStore proposal,,9. Core engine and registry requirements
CORE-032,CORE,P0,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,9. Core engine and registry requirements
CORE-034,CORE,P0,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,9. Core engine and registry requirements
OPS-001,OPS,P1,PLANNED,DEFERRED_WITHOUT_DESIGN,act local CI simulation not performed (system package install needs approval); P1,Roadmap card: install act + workflow_dispatch e2e (Phase 16),10. Operational and workflow requirements
OPS-002,OPS,P1,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,10. Operational and workflow requirements
OPS-003,OPS,P1,PARTIAL,PARTIALLY_INVESTIGATED,Requirement has partial implementation or proof and retains an explicit open boundary,,10. Operational and workflow requirements
OPS-004,OPS,P2,PLANNED,DEFERRED_WITH_DESIGN,Golden-set monitor = scheduled safety-net mode in the consolidated architecture's publishing design,,10. Operational and workflow requirements
OPS-005,OPS,P2,IMPLEMENTED,DEFERRED_WITHOUT_DESIGN,Registry sync ops; P2,Roadmap ops card (Phase 18),10. Operational and workflow requirements
OPS-006,OPS,P2,PLANNED,DEFERRED_WITHOUT_DESIGN,Dependabot config; P2,Roadmap ops card (Phase 18),10. Operational and workflow requirements
OPS-007,OPS,P1,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,10. Operational and workflow requirements
OPS-008,OPS,P1,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,10. Operational and workflow requirements
OPS-009,OPS,P2,BACKLOG,DEFERRED_WITH_DESIGN,Explicitly tracked backlog item excluded from the active mandatory mission queue,,10. Operational and workflow requirements
OPS-010,OPS,P2,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,10. Operational and workflow requirements
OPS-011,OPS,P2,PARTIAL,PARTIALLY_INVESTIGATED,Requirement has partial implementation or proof and retains an explicit open boundary,,10. Operational and workflow requirements
OPS-012,OPS,P2,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,10. Operational and workflow requirements
OPS-013,OPS,P3,BACKLOG,DEFERRED_WITH_DESIGN,Explicitly tracked backlog item excluded from the active mandatory mission queue,,10. Operational and workflow requirements
DEP-001,DEP,P2,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,10. Operational and workflow requirements
DEP-002,DEP,P2,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,10. Operational and workflow requirements
DEP-003,DEP,P2,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,10. Operational and workflow requirements
DEP-004,DEP,P1,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,10. Operational and workflow requirements
DEP-005,DEP,P2,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,10. Operational and workflow requirements
DEP-006,DEP,P3,BACKLOG,DEFERRED_WITH_DESIGN,Explicitly tracked backlog item excluded from the active mandatory mission queue,,10. Operational and workflow requirements
LLM-001,LLM,P0,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,11. LLM requirements
LLM-002,LLM,P0,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,11. LLM requirements
LLM-003,LLM,P0,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,11. LLM requirements
LLM-004,LLM,P0,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,11. LLM requirements
LLM-005,LLM,P0,PLANNED,DEFERRED_WITH_DESIGN,"[review-downgraded] facts-only prompt coupling for future jobs designed, not built",,11. LLM requirements
LLM-006,LLM,P0,PLANNED,PARTIALLY_INVESTIGATED,[review-downgraded] referential-integrity pattern shipped + gpt-oss reliability risk proven; future-job guard unbuilt,,11. LLM requirements
LLM-007,LLM,P0,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,11. LLM requirements
LLM-008,LLM,P0,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,11. LLM requirements
LLM-009,LLM,P1,PLANNED,PARTIALLY_INVESTIGATED,Description prose validation partially exercised by the settings proof; full validators in roadmap,,11. LLM requirements
LLM-010,LLM,P1,PLANNED,DEFERRED_WITH_DESIGN,Visual-claims validation designed with the asset contract; implementation in roadmap,,11. LLM requirements
LLM-011,LLM,P1,PLANNED,PARTIALLY_INVESTIGATED,Prompt-injection-as-untrusted-data named in the consolidated architecture's security section; adversarial fixtures deferred (Phase-17 wave),,11. LLM requirements
LLM-012,LLM,P2,PLANNED,DEFERRED_WITH_DESIGN,Model-drift monitoring = scheduled safety-net + the LLM gateway-characterization baseline,,11. LLM requirements
LLM-013,LLM,P1,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,11. LLM requirements
LLM-014,LLM,P1,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,11. LLM requirements
LLM-015,LLM,P2,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,11. LLM requirements
LLM-016,LLM,P2,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,11. LLM requirements
LLM-017,LLM,P2,BACKLOG,DEFERRED_WITH_DESIGN,Explicitly tracked backlog item excluded from the active mandatory mission queue,,11. LLM requirements
LLM-018,LLM,P2,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,11. LLM requirements
LLM-019,LLM,P0,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,11. LLM requirements
LLM-020,LLM,P1,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,11. LLM requirements
LLM-021,LLM,P1,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,11. LLM requirements
